accuracy,split_method,layer,seed
1.0,spatial,layer1,110
0.9998359016631176,spatial,layer2,110
1.0,spatial,layer3,110
1.0,spatial,layer4,110
1.0,spatial,layer5,110
1.0,spatial,layer1,111
0.9999198589517552,spatial,layer2,111
1.0,spatial,layer3,111
1.0,spatial,layer4,111
1.0,spatial,layer5,111
1.0,spatial,layer1,112
1.0,spatial,layer2,112
1.0,spatial,layer3,112
1.0,spatial,layer4,112
0.9983656514411208,spatial,layer5,112
1.0,spatial,layer1,113
1.0,spatial,layer2,113
1.0,spatial,layer3,113
1.0,spatial,layer4,113
0.9998240805370652,spatial,layer5,113
1.0,spatial,layer1,114
1.0,spatial,layer2,114
0.9998209390467988,spatial,layer3,114
1.0,spatial,layer4,114
1.0,spatial,layer5,114
1.0,spatial,layer1,115
0.9998855127882216,spatial,layer2,115
0.9999019428113424,spatial,layer3,115
1.0,spatial,layer4,115
1.0,spatial,layer5,115
1.0,spatial,layer1,116
1.0,spatial,layer2,116
1.0,spatial,layer3,116
1.0,spatial,layer4,116
1.0,spatial,layer5,116
1.0,spatial,layer1,117
0.9999084102305772,spatial,layer2,117
1.0,spatial,layer3,117
1.0,spatial,layer4,117
0.9998240805370652,spatial,layer5,117
1.0,spatial,layer1,118
1.0,spatial,layer2,118
0.9999019428113424,spatial,layer3,118
1.0,spatial,layer4,118
1.0,spatial,layer5,118
1.0,spatial,layer1,119
1.0,spatial,layer2,119
0.9999019428113424,spatial,layer3,119
1.0,spatial,layer4,119
1.0,spatial,layer5,119
1.0,spatial,layer1,120
0.9936230623039406,spatial,layer2,120
1.0,spatial,layer3,120
1.0,spatial,layer4,120
0.9998354301798352,spatial,layer5,120
1.0,spatial,layer1,121
0.9999274914325404,spatial,layer2,121
1.0,spatial,layer3,121
1.0,spatial,layer4,121
1.0,spatial,layer5,121
1.0,spatial,layer1,122
0.9999351239133256,spatial,layer2,122
1.0,spatial,layer3,122
1.0,spatial,layer4,122
1.0,spatial,layer5,122
1.0,spatial,layer1,123
0.9395507521809814,spatial,layer2,123
1.0,spatial,layer3,123
1.0,spatial,layer4,123
1.0,spatial,layer5,123
1.0,spatial,layer1,124
1.0,spatial,layer2,124
1.0,spatial,layer3,124
1.0,spatial,layer4,124
1.0,spatial,layer5,124
1.0,spatial,layer1,125
0.9999236751921478,spatial,layer2,125
1.0,spatial,layer3,125
1.0,spatial,layer4,125
1.0,spatial,layer5,125
1.0,spatial,layer1,126
1.0,spatial,layer2,126
0.9999232595914852,spatial,layer3,126
1.0,spatial,layer4,126
1.0,spatial,layer5,126
1.0,spatial,layer1,127
1.0,spatial,layer2,127
1.0,spatial,layer3,127
1.0,spatial,layer4,127
0.999994325178615,spatial,layer5,127
0.9998746752950828,spatial,layer1,128
0.9998969615093994,spatial,layer2,128
1.0,spatial,layer3,128
1.0,spatial,layer4,128
0.9984507737618958,spatial,layer5,128
1.0,spatial,layer1,129
1.0,spatial,layer2,129
1.0,spatial,layer3,129
1.0,spatial,layer4,129
1.0,spatial,layer5,129
1.0,spatial,layer1,130
0.9998893290286142,spatial,layer2,130
1.0,spatial,layer3,130
1.0,spatial,layer4,130
1.0,spatial,layer5,130
1.0,spatial,layer1,131
0.933738618063029,spatial,layer2,131
1.0,spatial,layer3,131
1.0,spatial,layer4,131
1.0,spatial,layer5,131
1.0,spatial,layer1,132
0.9998168204611544,spatial,layer2,132
1.0,spatial,layer3,132
1.0,spatial,layer4,132
1.0,spatial,layer5,132
1.0,spatial,layer1,133
1.0,spatial,layer2,133
0.999884889387228,spatial,layer3,133
1.0,spatial,layer4,133
0.99987515392953,spatial,layer5,133
1.0,spatial,layer1,134
1.0,spatial,layer2,134
0.9998806260311992,spatial,layer3,134
1.0,spatial,layer4,134
1.0,spatial,layer5,134
1.0,spatial,layer1,135
0.9998626153458658,spatial,layer2,135
0.9999104695233996,spatial,layer3,135
1.0,spatial,layer4,135
0.999869479108145,spatial,layer5,135
1.0,spatial,layer1,136
1.0,spatial,layer2,136
0.9999232595914852,spatial,layer3,136
1.0,spatial,layer4,136
1.0,spatial,layer5,136
1.0,spatial,layer1,137
1.0,spatial,layer2,137
0.9999189962354568,spatial,layer3,137
1.0,spatial,layer4,137
0.99981840571568,spatial,layer5,137
1.0,spatial,layer1,138
1.0,spatial,layer2,138
1.0,spatial,layer3,138
1.0,spatial,layer4,138
1.0,spatial,layer5,138
1.0,spatial,layer1,139
0.9999313076729328,spatial,layer2,139
0.9999062061673708,spatial,layer3,139
1.0,spatial,layer4,139
1.0,spatial,layer5,139
1.0,spatial,layer1,140
1.0,spatial,layer2,140
1.0,spatial,layer3,140
1.0,spatial,layer4,140
1.0,spatial,layer5,140
1.0,spatial,layer1,141
1.0,spatial,layer2,141
1.0,spatial,layer3,141
0.9999941119668386,spatial,layer4,141
1.0,spatial,layer5,141
1.0,spatial,layer1,142
1.0,spatial,layer2,142
0.9998379924709132,spatial,layer3,142
1.0,spatial,layer4,142
1.0,spatial,layer5,142
1.0,spatial,layer1,143
1.0,spatial,layer2,143
0.9998593092510564,spatial,layer3,143
1.0,spatial,layer4,143
1.0,spatial,layer5,143
1.0,spatial,layer1,144
0.9998626153458658,spatial,layer2,144
0.9998934160992852,spatial,layer3,144
1.0,spatial,layer4,144
0.9998581294653752,spatial,layer5,144
1.0,spatial,layer1,145
1.0,spatial,layer2,145
0.9998891527432564,spatial,layer3,145
1.0,spatial,layer4,145
0.996334065385292,spatial,layer5,145
1.0,spatial,layer1,146
1.0,spatial,layer2,146
1.0,spatial,layer3,146
1.0,spatial,layer4,146
1.0,spatial,layer5,146
1.0,spatial,layer1,147
1.0,spatial,layer2,147
0.999914732879428,spatial,layer3,147
1.0,spatial,layer4,147
1.0,spatial,layer5,147
1.0,spatial,layer1,148
1.0,spatial,layer2,148
0.9998593092510564,spatial,layer3,148
1.0,spatial,layer4,148
0.999994325178615,spatial,layer5,148
1.0,spatial,layer1,149
1.0,spatial,layer2,149
0.999884889387228,spatial,layer3,149
1.0,spatial,layer4,149
1.0,spatial,layer5,149
1.0,spatial,layer1,150
1.0,spatial,layer2,150
1.0,spatial,layer3,150
1.0,spatial,layer4,150
1.0,spatial,layer5,150
1.0,spatial,layer1,151
1.0,spatial,layer2,151
1.0,spatial,layer3,151
1.0,spatial,layer4,151
0.9986266932248308,spatial,layer5,151
1.0,spatial,layer1,152
1.0,spatial,layer2,152
1.0,spatial,layer3,152
1.0,spatial,layer4,152
0.9991090530425556,spatial,layer5,152
1.0,spatial,layer1,153
1.0,spatial,layer2,153
0.9984524017616188,spatial,layer3,153
1.0,spatial,layer4,153
1.0,spatial,layer5,153
1.0,spatial,layer1,154
1.0,spatial,layer2,154
0.999872099319142,spatial,layer3,154
1.0,spatial,layer4,154
1.0,spatial,layer5,154
1.0,spatial,layer1,155
0.9933750066784208,spatial,layer2,155
0.9998806260311992,spatial,layer3,155
1.0,spatial,layer4,155
0.998201081620956,spatial,layer5,155
1.0,spatial,layer1,156
1.0,spatial,layer2,156
0.9999317863035424,spatial,layer3,156
1.0,spatial,layer4,156
1.0,spatial,layer5,156
1.0,spatial,layer1,157
0.9998587991054732,spatial,layer2,157
1.0,spatial,layer3,157
1.0,spatial,layer4,157
1.0,spatial,layer5,157
1.0,spatial,layer1,158
1.0,spatial,layer2,158
0.9998678359631136,spatial,layer3,158
1.0,spatial,layer4,158
1.0,spatial,layer5,158
1.0,spatial,layer1,159
1.0,spatial,layer2,159
1.0,spatial,layer3,159
1.0,spatial,layer4,159
1.0,spatial,layer5,159
1.0,spatial,layer1,160
1.0,spatial,layer2,160
1.0,spatial,layer3,160
1.0,spatial,layer4,160
1.0,spatial,layer5,160
1.0,spatial,layer1,161
1.0,spatial,layer2,161
0.9998550458950276,spatial,layer3,161
1.0,spatial,layer4,161
1.0,spatial,layer5,161
1.0,spatial,layer1,162
1.0,spatial,layer2,162
1.0,spatial,layer3,162
1.0,spatial,layer4,162
1.0,spatial,layer5,162
1.0,spatial,layer1,163
1.0,spatial,layer2,163
1.0,spatial,layer3,163
1.0,spatial,layer4,163
1.0,spatial,layer5,163
1.0,spatial,layer1,164
0.9999236751921478,spatial,layer2,164
1.0,spatial,layer3,164
1.0,spatial,layer4,164
0.99985245464399,spatial,layer5,164
1.0,spatial,layer1,165
1.0,spatial,layer2,165
1.0,spatial,layer3,165
1.0,spatial,layer4,165
1.0,spatial,layer5,165
1.0,spatial,layer1,166
0.9999274914325404,spatial,layer2,166
1.0,spatial,layer3,166
1.0,spatial,layer4,166
1.0,spatial,layer5,166
1.0,spatial,layer1,167
1.0,spatial,layer2,167
1.0,spatial,layer3,167
1.0,spatial,layer4,167
1.0,spatial,layer5,167
1.0,spatial,layer1,168
1.0,spatial,layer2,168
0.9999062061673708,spatial,layer3,168
1.0,spatial,layer4,168
1.0,spatial,layer5,168
1.0,spatial,layer1,169
1.0,spatial,layer2,169
1.0,spatial,layer3,169
1.0,spatial,layer4,169
0.999994325178615,spatial,layer5,169
1.0,spatial,layer1,170
0.9998969615093994,spatial,layer2,170
1.0,spatial,layer3,170
1.0,spatial,layer4,170
1.0,spatial,layer5,170
1.0,spatial,layer1,171
1.0,spatial,layer2,171
0.999884889387228,spatial,layer3,171
1.0,spatial,layer4,171
1.0,spatial,layer5,171
1.0,spatial,layer1,172
0.9998702478266512,spatial,layer2,172
0.9999019428113424,spatial,layer3,172
1.0,spatial,layer4,172
1.0,spatial,layer5,172
1.0,spatial,layer1,173
0.994867156671933,spatial,layer2,173
1.0,spatial,layer3,173
1.0,spatial,layer4,173
1.0,spatial,layer5,173
1.0,spatial,layer1,174
1.0,spatial,layer2,174
0.9999189962354568,spatial,layer3,174
1.0,spatial,layer4,174
0.99985245464399,spatial,layer5,174
1.0,spatial,layer1,175
0.9998282691823324,spatial,layer2,175
1.0,spatial,layer3,175
1.0,spatial,layer4,175
1.0,spatial,layer5,175
1.0,spatial,layer1,176
1.0,spatial,layer2,176
0.9999317863035424,spatial,layer3,176
1.0,spatial,layer4,176
0.99985245464399,spatial,layer5,176
1.0,spatial,layer1,177
0.9998740640670436,spatial,layer2,177
1.0,spatial,layer3,177
1.0,spatial,layer4,177
1.0,spatial,layer5,177
1.0,spatial,layer1,178
1.0,spatial,layer2,178
1.0,spatial,layer3,178
0.9980333969240914,spatial,layer4,178
1.0,spatial,layer5,178
1.0,spatial,layer1,179
1.0,spatial,layer2,179
1.0,spatial,layer3,179
1.0,spatial,layer4,179
1.0,spatial,layer5,179
1.0,spatial,layer1,180
1.0,spatial,layer2,180
1.0,spatial,layer3,180
1.0,spatial,layer4,180
1.0,spatial,layer5,180
1.0,spatial,layer1,181
1.0,spatial,layer2,181
1.0,spatial,layer3,181
1.0,spatial,layer4,181
0.9998581294653752,spatial,layer5,181
1.0,spatial,layer1,182
1.0,spatial,layer2,182
0.9998635726070848,spatial,layer3,182
1.0,spatial,layer4,182
0.9998354301798352,spatial,layer5,182
1.0,spatial,layer1,183
0.99975194437448,spatial,layer2,183
1.0,spatial,layer3,183
1.0,spatial,layer4,183
0.9986210184034456,spatial,layer5,183
1.0,spatial,layer1,184
1.0,spatial,layer2,184
0.9999317863035424,spatial,layer3,184
1.0,spatial,layer4,184
0.9998127308942952,spatial,layer5,184
1.0,spatial,layer1,185
1.0,spatial,layer2,185
0.9998550458950276,spatial,layer3,185
1.0,spatial,layer4,185
1.0,spatial,layer5,185
1.0,spatial,layer1,186
1.0,spatial,layer2,186
1.0,spatial,layer3,186
1.0,spatial,layer4,186
